,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,491.0,477.0,491.0,477.0,491.0,491.0,439.0,439.0,439.0,439.0
mean,547.5221596471079,177.16686153855613,0.9869345454104459,0.06936375111721406,0.06666666666666661,0.17224595951683527,0.9295359586241754,0.38059253596862086,0.04944545682608269,0.03315543451211354
std,48.42320463722908,65.07212537326633,0.024581551393276963,0.08991311515055266,1.3891941598140613e-17,0.07203128645712188,2.222979359885114e-16,0.5411909535254986,0.01323131325529289,0.05029131639621535
min,238.0,64.72896883318802,0.7547169811320755,0.0,0.0666666666666666,0.125,0.9295359586241756,-0.0,1e-300,-0.0
25%,518.6674300867888,128.86500353008515,0.9814814814814815,0.0,0.0666666666666666,0.125,0.9295359586241756,-0.0,0.04643301608223255,-0.0
50%,538.875,159.24299146377,1.0,0.0,0.0666666666666666,0.125,0.9295359586241756,0.0,0.0508806027384009,0.0
75%,570.8829215896885,211.95086513333518,1.0,0.13736056394868904,0.0666666666666666,0.2222222222222222,0.9295359586241756,0.6989941614258359,0.05589440734734505,0.06489584280759865
max,876.0,403.98899685399863,1.0,0.43437224276306935,0.0666666666666666,0.4615384615384615,0.9295359586241756,3.33670590680296,0.0782313374573028,0.2752028098052793
