,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,670.0,649.0,670.0,649.0,670.0,670.0,465.0,465.0,465.0,465.0
mean,548.0833492432507,176.75466946549807,0.9884676561535469,0.06510868464054537,0.09090909090909093,0.26972206069220983,1.2396908869280152,1.017315469055394,0.056059471325243256,0.09299779557512479
std,44.831080199494295,66.13626926035538,0.021438537226595125,0.08536937868505784,2.777631194696043e-17,0.11331364046153386,0.0,0.9863851205114609,0.01713342786933168,0.08974153961538325
min,450.6666666666667,81.2704799363884,0.8148148148148148,0.0,0.0909090909090909,0.1666666666666666,1.2396908869280152,-0.0,5e-301,-0.0
25%,520.9512987012987,131.30495403570768,0.9834016393442623,0.0,0.0909090909090909,0.1666666666666666,1.2396908869280152,0.5962292078977726,0.0507391236228479,1.2218559894468472e-299
50%,544.9087301587301,157.3672737981882,1.0,0.0,0.0909090909090909,0.2857142857142857,1.2396908869280152,0.5962292078977726,0.0561041137083514,0.0700799190010705
75%,566.0044642857142,208.46649947535641,1.0,0.13130643285972254,0.0909090909090909,0.2857142857142857,1.2396908869280152,1.5318337432196856,0.0636984257724422,0.1359256869655724
max,916.0,584.4139295273864,1.0,0.3958473906635696,0.0909090909090909,0.6428571428571429,1.2396908869280152,6.109279947234236,0.1681903154849925,0.6576396710840072
