,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,126.0,124.0,126.0,124.0,126.0,126.0,104.0,104.0,104.0,104.0
mean,547.3252415854904,165.57490619365294,0.9864098238306085,0.07209357540070901,0.25,0.6855894645559303,2.207504534563622,5.059267361178763,0.16212773832675534,0.5253349437749824
std,48.822637385911456,57.81615568205009,0.026145992902610993,0.08970589855538794,0.0,0.17939240603496928,0.12182857320146162,2.7563725303816358,0.1091933854026742,0.26004097312336966
min,459.258064516129,86.4667795644892,0.8043478260869565,0.0,0.25,0.4,1.8718021769015916,0.0,1e-300,0.0
25%,518.3154681139755,128.15360938868898,0.9804864253393665,0.0,0.25,0.4,2.2512917986064958,3.0050783256394062,0.0840065809997871,0.35898791309189365
50%,537.6986846659744,149.09706684699518,1.0,0.0,0.25,0.7692307692307693,2.2512917986064958,5.716423274259048,0.12631780491123779,0.5907626469330959
75%,569.1103742732558,190.65175321754765,1.0,0.14002800840280097,0.25,0.8235294117647058,2.2512917986064958,6.791434921623459,0.21231405809121687,0.7333583878161242
max,821.0,358.45891809187276,1.0,0.4010854836782195,0.25,0.896551724137931,2.2512917986064958,12.856162000628288,0.6864948541129846,0.9261774729468634
