,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,299.0,299.0,299.0,299.0,299.0,299.0,246.0,199.0,199.0,199.0
mean,545.4971278389654,174.97687034688843,0.9880144177094812,0.06456986079254574,0.3333333333333333,0.7163012294283198,1.9517362045212796,6.790326648865825,0.27557177111138165,0.6839870607815682
std,37.58486183828077,63.542858670841,0.023762348032855554,0.08626580523806998,0.0,0.18558647527835576,1.1516597666179305,2.386491028801951,0.2491376919164341,0.23178282285882934
min,475.4,77.95550323018233,0.8275862068965517,0.0,0.3333333333333333,0.3333333333333333,-0.4054651081081644,0.0,1e-300,0.0
25%,517.5779497098647,126.2204435179785,0.9827586206896551,0.0,0.3333333333333333,0.5,2.159484249353372,5.401291369881941,0.14157783785777356,0.6240536609368823
50%,542.4516129032259,156.93014198051728,1.0,0.0,0.3333333333333333,0.8333333333333334,2.538973871058276,7.0906955048717,0.2066346660521907,0.74819273791669
75%,564.7145454545455,209.23048626102735,1.0,0.13130643285972254,0.3333333333333333,0.875,2.538973871058276,8.233151896511865,0.3306274199353907,0.8309778624779445
max,761.2857142857143,510.74772451303016,1.0,0.3844258722192447,0.3333333333333333,0.9444444444444444,2.538973871058276,11.826542583447129,2.049837505041808,0.9701282010232072
