,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,537.2857142857143,152.8081247230214,1.0,0.0,0.0344827586206896,0.0666666666666666,0.2702903297399117,0.0,0.050904472115818,0.0
std,,,,,,,,,,
min,537.2857142857143,152.8081247230214,1.0,0.0,0.0344827586206896,0.0666666666666666,0.2702903297399117,-0.0,0.050904472115818,-0.0
25%,537.2857142857143,152.8081247230214,1.0,0.0,0.0344827586206896,0.0666666666666666,0.2702903297399117,-0.0,0.050904472115818,-0.0
50%,537.2857142857143,152.8081247230214,1.0,0.0,0.0344827586206896,0.0666666666666666,0.2702903297399117,-0.0,0.050904472115818,-0.0
75%,537.2857142857143,152.8081247230214,1.0,0.0,0.0344827586206896,0.0666666666666666,0.2702903297399117,-0.0,0.050904472115818,-0.0
max,537.2857142857143,152.8081247230214,1.0,0.0,0.0344827586206896,0.0666666666666666,0.2702903297399117,-0.0,0.050904472115818,-0.0
