,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,135.0,135.0,135.0,135.0,135.0,135.0,114.0,114.0,114.0,114.0
mean,546.6170187919513,178.73824434005343,0.9888027606210344,0.06436720362980831,0.19999999999999996,0.5988568221901556,1.9648999770081346,3.878974686106733,0.0952511213387491,0.36204160372424515
std,36.893944557097285,66.56575237662175,0.01823444642931217,0.08267280053242125,5.571789738907976e-17,0.18295149344224657,0.14205183852320846,2.429897081620768,0.05438074137684678,0.22918437603045555
min,484.625,58.03600415068027,0.8734177215189873,0.0,0.2,0.25,1.6486586255873816,0.0,1e-300,0.0
25%,519.0417798913044,135.16611805417733,0.9818181818181818,0.0,0.2,0.3333333333333333,2.0281482472922856,2.333545243735693,0.06597592268623456,0.2319878131574104
50%,541.6206896551724,160.21995074375135,1.0,0.0,0.2,0.6666666666666666,2.0281482472922856,3.84781542124358,0.08900397265275375,0.3915423832557467
75%,566.3206140350877,210.13155255754987,1.0,0.13483997249264842,0.2,0.75,2.0281482472922856,5.710492791428491,0.10772843014728968,0.5312048676792993
max,644.1923076923077,445.6157902719365,1.0,0.3346290946166706,0.2,0.8666666666666667,2.0281482472922856,9.830870924832752,0.4028825957294304,0.8463870334105064
