,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,70.0,70.0,70.0,70.0,70.0,70.0,70.0,67.0,70.0,67.0
mean,539.670145351405,168.37559689340446,0.9919042599330228,0.044980767954128455,1.0,0.9976190476190475,3.4626043949714798,1.492537313432836e+298,9.999999999999998e+299,1.0
std,35.244340544399584,55.711142976469944,0.015651756907992566,0.07744125277337302,0.0,0.013983459945910787,0.6038760166823741,inf,inf,0.0
min,447.6461538461538,78.97302009690276,0.9333333333333333,0.0,1.0,0.9166666666666666,0.6931471805599453,4.946011690719864,1e+300,1.0
25%,516.090625,127.64651638580114,0.9876068376068377,0.0,1.0,1.0,3.6375861597263857,7.0318495477887275,1e+300,1.0
50%,541.1798951048952,148.51989921140236,1.0,0.0,1.0,1.0,3.6375861597263857,8.86299910748439,1e+300,1.0
75%,561.2590067340068,209.1375066352927,1.0,0.11127309139558117,1.0,1.0,3.6375861597263857,10.47816146278295,1e+300,1.0
max,650.95,317.13021572977493,1.0,0.2515488742932317,1.0,1.0,3.6375861597263857,1e+300,1e+300,1.0
