,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,269.0,260.0,269.0,260.0,269.0,269.0,252.0,252.0,252.0,252.0
mean,549.9548074099524,176.67775496574848,0.985653827854658,0.07308432451455743,0.058823529411764705,0.14650702457393908,0.8043728156701698,0.28717055790010665,0.046472479592802374,0.02496717923392407
std,45.08429421425405,66.53400971491162,0.03156960659668001,0.09243901687778953,6.951827547756551e-18,0.062038822079121994,1.1124324258644364e-16,0.47156506868131776,0.015116251416313628,0.04512550715732771
min,449.0,84.58942090988761,0.6623376623376623,0.0,0.0588235294117647,0.1111111111111111,0.8043728156701697,-0.0,1e-300,-0.0
25%,522.2298850574713,131.454314401934,0.9818181818181818,0.0,0.0588235294117647,0.1111111111111111,0.8043728156701697,-0.0,0.04395491827968245,-0.0
50%,544.5633802816901,155.54995852651348,1.0,0.0,0.0588235294117647,0.1111111111111111,0.8043728156701697,-0.0,0.048458678905303046,-0.0
75%,569.5681818181819,197.34284199302857,1.0,0.13673083488004256,0.0588235294117647,0.2,0.8043728156701697,0.5962292078977726,0.054144589873934196,0.053364642159827724
max,813.0519480519481,454.60416257917507,1.0,0.47601386563146536,0.0588235294117647,0.4285714285714285,0.8043728156701697,2.224150471231856,0.0769141124553383,0.2409180054383206
