,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,495.0,478.0,495.0,478.0,495.0,495.0,264.0,264.0,264.0,264.0
mean,544.7449197367391,179.07410323230533,0.9873956557483582,0.06684521125676292,0.11111111111111115,0.31692961359628025,1.4346117396370615,1.5423143033295745,0.06434478996333842,0.15091287860808164
std,46.68602937746851,72.57526867977593,0.02586001891527199,0.08968216004712068,4.1675481151384683e-17,0.1366670608768334,0.0464447613077648,1.2326395494869702,0.03104459829092654,0.1255258552800475
min,266.0,60.94095503025859,0.782608695652174,0.0,0.1111111111111111,0.2,1.0608719606852628,-0.0,1e-300,-0.0
25%,520.0066889632108,127.08872386144347,0.9830508474576272,0.0,0.1111111111111111,0.2,1.4403615823901663,0.5962292078977726,0.05450808152609452,0.06827570921587806
50%,539.4237288135594,154.36372475810703,1.0,0.0,0.1111111111111111,0.2,1.4403615823901663,1.2900256809649917,0.062515167656288,0.1148130769785769
75%,563.4942456580875,207.50703824956153,1.0,0.1336306209562122,0.1111111111111111,0.4285714285714285,1.4403615823901663,2.305848731451232,0.07191900813786675,0.2175571485641196
max,912.0,458.02095675350574,1.0,0.4472135954999579,0.1111111111111111,0.75,1.4403615823901663,7.023693185010764,0.4375482437990768,0.8600695864240862
