,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,534.428250753611,169.33139147207876,0.9841087299084389,0.07223722035580817,0.043478260869565195,0.08836996336996332,0.5020919437972361,0.057268508210992816,0.04589564105951948,0.005430335965927943
std,37.621666129241746,67.17853472447133,0.03442749796095588,0.10145615528667044,7.200830510517159e-18,0.01884534398100428,0.0,0.21427913677718535,0.005038410402251406,0.020318456679578496
min,479.81081081081084,99.11541480592719,0.8688524590163934,0.0,0.0434782608695652,0.0833333333333333,0.5020919437972361,-0.0,0.0359291064351891,-0.0
25%,512.3213235294118,133.6258386105352,0.9826754385964912,0.0,0.0434782608695652,0.0833333333333333,0.5020919437972361,0.0,0.042283947559651446,0.0
50%,521.3541859746679,145.52386098935256,1.0,0.0,0.0434782608695652,0.0833333333333333,0.5020919437972361,-0.0,0.0473900329228939,-0.0
75%,549.7835249042146,168.90690927108238,1.0,0.13161478799827342,0.0434782608695652,0.0833333333333333,0.5020919437972361,-0.0,0.04831268601972138,-0.0
max,621.1639344262295,354.298816917423,1.0,0.34036303344446667,0.0434782608695652,0.1538461538461538,0.5020919437972361,0.8017591149538994,0.0542752647311917,0.0760247035229912
