,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,317.0,310.0,317.0,310.0,317.0,317.0,205.0,205.0,205.0,205.0
mean,547.7011766224272,176.37075193695867,0.9905165929867726,0.05557021340933129,0.125,0.40176674385469063,1.5414840980692612,2.1894261664915713,0.07307087546821327,0.22239850887884488
std,38.33059979965035,65.39716290492699,0.018508734718388726,0.0796931977912677,0.0,0.16254140710523057,0.07793942176973355,1.3968478890097333,0.025835203503175662,0.13978133914414692
min,468.25,50.34665544289625,0.8545454545454545,0.0,0.125,0.2222222222222222,1.1786549963416462,0.0,1e-300,0.0
25%,523.0555555555555,130.9717835293207,0.9852941176470589,0.0,0.125,0.2222222222222222,1.55814461804655,0.8017591149538994,0.0580263016578901,0.0947921523647905
50%,545.3333333333334,156.17382980970473,1.0,0.0,0.125,0.3636363636363636,1.55814461804655,2.305848731451232,0.0697378255807759,0.2274806831234216
75%,566.5769230769231,204.69831086322964,1.0,0.12126781251816653,0.125,0.5714285714285714,1.55814461804655,2.644520854456544,0.0833432444409562,0.3067164193961662
max,829.0,442.033959974437,1.0,0.3558079911965533,0.125,0.72,1.55814461804655,7.618656773477008,0.234763680120321,0.7815242868634625
