,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,37.0,35.0,37.0,35.0,37.0,37.0,36.0,36.0,36.0,36.0
mean,547.1008349864078,186.51149334344697,0.9896949307235605,0.06312650308886951,0.04761904761904761,0.10697410697410695,0.5930637220029626,0.1637514017675628,0.03848516128377291,0.011016735428959664
std,41.4504958978874,78.6603347169956,0.016838234518530275,0.08285883360464702,7.034607306733603e-18,0.03513742267726403,0.0,0.3492204028177863,0.018101503579424062,0.029394201601036105
min,474.0,75.25145035665945,0.9230769230769231,0.0,0.0476190476190476,0.0909090909090909,0.5930637220029626,-0.0,1e-300,-0.0
25%,530.2075471698113,132.93492648749526,0.9824561403508771,0.0,0.0476190476190476,0.0909090909090909,0.5930637220029626,-0.0,0.04150844510651897,-0.0
50%,540.3076923076923,168.58312399813244,1.0,0.0,0.0476190476190476,0.0909090909090909,0.5930637220029626,-0.0,0.04436334016383425,-0.0
75%,560.8333333333334,220.5489588183148,1.0,0.13693729597190693,0.0476190476190476,0.0909090909090909,0.5930637220029626,0.0,0.048405195021471774,0.0
max,656.0,367.4945652888501,1.0,0.269069117598525,0.0476190476190476,0.2307692307692307,0.5930637220029626,1.2900256809649917,0.0600929002761702,0.1290329147035092
