,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,583.0,560.0,583.0,560.0,583.0,583.0,496.0,496.0,496.0,496.0
mean,550.2728590145715,187.28604929059804,0.9870601094251115,0.06788303169120863,0.0714285714285714,0.1899163579430356,0.998528830111127,0.4642328024615001,0.050238870020107684,0.04142650357002525
std,44.78339584898964,77.22621886781936,0.027582721118578166,0.0901902134004324,0.0,0.07938743706961278,2.222687792425251e-16,0.6157262623339932,0.013503190703751944,0.057566922601487075
min,435.0,71.75524476660331,0.72,0.0,0.0714285714285714,0.1333333333333333,0.9985288301111273,-0.0,5e-301,-0.0
25%,521.2343260188088,133.43199337006476,0.9827586206896551,0.0,0.0714285714285714,0.1333333333333333,0.9985288301111273,-0.0,0.04658967270576703,-0.0
50%,544.2535211267606,162.7459210746289,1.0,0.0,0.0714285714285714,0.1333333333333333,0.9985288301111273,-0.0,0.0514363647919651,-0.0
75%,571.1607142857142,220.22285739001498,1.0,0.1336306209562122,0.0714285714285714,0.2352941176470588,0.9985288301111273,0.8017591149538994,0.056888940591635025,0.06637518010404075
max,843.0,644.2033371230232,1.0,0.45202248210053037,0.0714285714285714,0.48,0.9985288301111273,4.4698522821009625,0.0904619004679203,0.3951900136724355
