,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,610.0,586.0,610.0,586.0,610.0,610.0,361.0,361.0,361.0,361.0
mean,550.6357751677765,173.84634181445804,0.9870969392377339,0.0690577156722588,0.1,0.2861729389890848,1.3318474133663718,1.2184612765629814,0.06190399074544469,0.12200009951407983
std,59.830554896792606,61.87357560590156,0.024703558219359857,0.08992707552188851,0.0,0.12154838406981597,0.034498260132323,1.0576584366098885,0.01650846096742199,0.10285274255678392
min,343.0,76.63168574251945,0.8260869565217391,0.0,0.1,0.1818181818181818,0.9555114450274363,-0.0,1e-300,-0.0
25%,518.047149122807,128.86714343518096,0.9834016393442623,0.0,0.1,0.1818181818181818,1.3350010667323402,0.5962292078977726,0.0537972657042353,0.0628243600643698
50%,541.7259878419452,158.49263925031363,1.0,0.0,0.1,0.3076923076923077,1.3350010667323402,0.8017591149538994,0.0612705860675525,0.0839937760016012
75%,571.6383783783783,198.31707040535503,1.0,0.13245323570650439,0.1,0.4,1.3350010667323402,1.5927548636075812,0.0690484960224917,0.1847364765205938
max,1320.0,463.7465948141083,1.0,0.3818115387869978,0.1,0.6666666666666666,1.3350010667323402,5.279449779887423,0.1385616691689416,0.5781757001312874
