,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,177.0,176.0,177.0,176.0,177.0,177.0,163.0,163.0,163.0,163.0
mean,542.5763500913523,172.41544878625652,0.9862943192626755,0.06883147737355715,0.16666666666666657,0.5840466061070261,1.8085761754843528,3.1060130137826154,0.0870444588806785,0.3082709996198079
std,36.23236933463137,61.847313236894784,0.028563813352956362,0.09120290860083886,2.7834314995430825e-17,0.1472734018610155,0.1132575734281856,1.9167270273404788,0.05499526630243328,0.1924661789238839
min,465.8,76.33200088412697,0.7843137254901961,0.0,0.1666666666666666,0.2857142857142857,1.466337068793427,0.0,1e-300,0.0
25%,516.581081081081,130.5287300696357,0.9830508474576272,0.0,0.1666666666666666,0.5454545454545454,1.845826690498331,2.305848731451232,0.06409246354681125,0.20420873428234293
50%,538.578947368421,154.02128989495486,1.0,0.0,0.1666666666666666,0.631578947368421,1.845826690498331,2.333545243735693,0.0793113567456932,0.2941690795169223
75%,560.2027027027027,191.78285399555625,1.0,0.13018891098082386,0.1666666666666666,0.6666666666666666,1.845826690498331,4.064985317855147,0.09851582620680005,0.4321878474152472
max,687.8461538461538,402.80176566102296,1.0,0.41539020162714857,0.1666666666666666,0.8387096774193549,1.845826690498331,10.72793029477902,0.5401564294492265,0.8622070631329339
