,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,148.0,140.0,148.0,140.0,148.0,148.0,148.0,148.0,148.0,148.0
mean,562.3298835956766,186.871202194705,0.9801110891210817,0.0646317458165601,0.0,0.0,0.0,0.0,0.0,0.0
std,123.1504302360446,78.3680622554627,0.08908400598086195,0.09390801641318687,0.0,0.0,0.0,0.0,0.0,0.0
min,425.4375,47.78144688753854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,515.8615384615384,128.2012396889837,0.9848484848484849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,543.9297603804646,160.84157745773837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,574.3989361702128,232.88304697833846,1.0,0.12309149097933271,0.0,0.0,0.0,0.0,0.0,0.0
max,1899.0,429.4623946749923,1.0,0.5175491695067657,0.0,0.0,0.0,0.0,0.0,0.0
