,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
mean,574.1553655660377,185.64137605591895,0.8671875,0.22257845950343136,0.04,0.0769230769230769,0.4187103348581849,0.0,0.04314282260524225,0.0
std,54.36008458222028,38.50953117431916,0.18782523875267668,0.31477347612186335,0.0,0.0,0.0,0.0,0.0007285050838306788,0.0
min,535.7169811320755,158.4110254222431,0.734375,0.0,0.04,0.0769230769230769,0.4187103348581849,-0.0,0.0426276917203367,-0.0
25%,554.9361733490566,172.02620073908102,0.80078125,0.11128922975171568,0.04,0.0769230769230769,0.4187103348581849,0.0,0.04288525716278947,0.0
50%,574.1553655660377,185.64137605591895,0.8671875,0.22257845950343136,0.04,0.0769230769230769,0.4187103348581849,-0.0,0.04314282260524225,-0.0
75%,593.3745577830189,199.25655137275686,0.93359375,0.33386768925514704,0.04,0.0769230769230769,0.4187103348581849,-0.0,0.04340038804769503,-0.0
max,612.59375,212.87172668959477,1.0,0.4451569190068627,0.04,0.0769230769230769,0.4187103348581849,-0.0,0.0436579534901478,-0.0
