,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,519.2226929392447,142.31301561177165,0.9932183908045976,0.05208117554666063,0.0416666666666666,0.08,0.4595323293784402,0.0,0.04372611412429704,0.0
std,26.44206257782522,26.199980170480288,0.009288323609580217,0.07131935527155495,0.0,0.0,0.0,0.0,0.006812666908097158,0.0
min,480.85714285714283,116.93632995420155,0.9827586206896551,0.0,0.0416666666666666,0.08,0.4595323293784402,-0.0,0.0345647607430716,-0.0
25%,514.0,120.40679965266662,0.9833333333333333,0.0,0.0416666666666666,0.08,0.4595323293784402,0.0,0.041003931998332,0.0
50%,518.1896551724138,134.01844885226944,1.0,0.0,0.0416666666666666,0.08,0.4595323293784402,0.0,0.0422034276851203,0.0
75%,529.2666666666667,168.01967897447616,1.0,0.12909944487358058,0.0416666666666666,0.08,0.4595323293784402,0.0,0.0493979436445222,0.0
max,553.8,172.18382062524452,1.0,0.13130643285972254,0.0416666666666666,0.08,0.4595323293784402,-0.0,0.0514605065504391,-0.0
