,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,683.0,665.0,683.0,665.0,683.0,683.0,561.0,561.0,561.0,561.0
mean,546.4872180434107,181.28422599529824,0.9858183021291268,0.06952171539530425,0.07692307692307689,0.21635758092566287,1.072636802264849,0.6208456941789176,0.051148401832008805,0.055564684321800055
std,40.640533200282036,71.286184376013,0.02963914100437317,0.09421559024236881,1.3887958412190097e-17,0.08821906222204301,0.0,0.7232358027025378,0.015235070252957922,0.06689834234015757
min,413.0,72.40153411950014,0.7037037037037037,0.0,0.0769230769230769,0.1428571428571428,1.072636802264849,-0.0,1e-300,-0.0
25%,520.2935876623377,130.76266068138239,0.9819805194805195,0.0,0.0769230769230769,0.1428571428571428,1.072636802264849,0.0,0.0472786606343387,0.0
50%,540.7297297297297,161.75247560196217,1.0,0.0,0.0769230769230769,0.1428571428571428,1.072636802264849,0.5962292078977726,0.052132884692504,0.0548552693884769
75%,567.7706689536878,206.9466805595396,1.0,0.13608276348795434,0.0769230769230769,0.25,1.072636802264849,0.8017591149538994,0.0586598900737669,0.0757510190653424
max,780.0,573.48525615258,1.0,0.46091089588801,0.0769230769230769,0.5384615384615384,1.072636802264849,4.946011690719864,0.0960127515916259,0.4567792213226592
