,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
mean,529.7745738636363,161.81607873314516,0.984375,0.08768404680152521,0.0384615384615384,0.074074074074074,0.3794896217049037,0.0,0.0441739417833621,0.0
std,36.270761105312346,31.32848904794817,0.02209708691207961,0.12400396819047416,0.0,0.0,,,,
min,504.1272727272727,139.66349168301252,0.96875,0.0,0.0384615384615384,0.074074074074074,0.3794896217049037,-0.0,0.0441739417833621,-0.0
25%,516.9509232954546,150.73978520807884,0.9765625,0.043842023400762604,0.0384615384615384,0.074074074074074,0.3794896217049037,-0.0,0.0441739417833621,-0.0
50%,529.7745738636363,161.81607873314516,0.984375,0.08768404680152521,0.0384615384615384,0.074074074074074,0.3794896217049037,-0.0,0.0441739417833621,-0.0
75%,542.5982244318182,172.89237225821148,0.9921875,0.13152607020228782,0.0384615384615384,0.074074074074074,0.3794896217049037,-0.0,0.0441739417833621,-0.0
max,555.421875,183.9686657832778,1.0,0.17536809360305042,0.0384615384615384,0.074074074074074,0.3794896217049037,-0.0,0.0441739417833621,-0.0
