,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,188.0,175.0,188.0,175.0,188.0,188.0,180.0,180.0,180.0,180.0
mean,553.6053127955109,174.01806257431264,0.9891472736190334,0.062359431421241625,0.05555555555555547,0.1284937598390054,0.7472144018302213,0.19679650223682843,0.04497526327684885,0.016705331209411926
std,75.85924650720139,62.758627580164514,0.020494957798479686,0.08618417863145846,2.782968943412005e-17,0.04804599813105864,1.1133198870553345e-16,0.3852426588564877,0.013994659851512783,0.0340359217808512
min,11.0,84.05124352715751,0.8548387096774194,0.0,0.0555555555555555,0.1052631578947368,0.7472144018302211,-0.0,5e-301,-0.0
25%,521.6781655844155,126.09779083569548,0.9841269841269841,0.0,0.0555555555555555,0.1052631578947368,0.7472144018302211,-0.0,0.04267780003178505,-0.0
50%,545.2666666666667,158.63998619971326,1.0,0.0,0.0555555555555555,0.1052631578947368,0.7472144018302211,-0.0,0.04655414533331875,-0.0
75%,575.0474508599509,204.7631696734006,1.0,0.12804978593688554,0.0555555555555555,0.1052631578947368,0.7472144018302211,0.0,0.050552045167852805,0.0
max,1139.0,388.43204859059944,1.0,0.35513904889601594,0.0555555555555555,0.32,0.7472144018302211,1.5318337432196856,0.0876598297080995,0.155573306831869
