,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,402.0,389.0,402.0,389.0,402.0,402.0,376.0,376.0,376.0,376.0
mean,546.2104326896307,177.9512615577824,0.9874257011077536,0.07103615658273993,0.0625,0.15348173756317773,0.8649974374866047,0.3007001019142469,0.04769523078023512,0.025124858056614158
std,41.2481364927126,66.38115155720592,0.022997765692800046,0.08670958264911705,0.0,0.06262629104168653,1.1117023364400436e-16,0.5431894525355658,0.014748329198389127,0.04748511195749777
min,393.0,79.92306568551678,0.8135593220338984,0.0,0.0625,0.1176470588235294,0.8649974374866046,-0.0,1e-300,-0.0
25%,519.9022200772201,131.14302406963293,0.9822967980295566,0.0,0.0625,0.1176470588235294,0.8649974374866046,-0.0,0.045565386351135,-0.0
50%,538.450634057971,157.0466544745595,1.0,0.0,0.0625,0.1176470588235294,0.8649974374866046,-0.0,0.04978949190535405,-0.0
75%,566.1683636030086,211.2361056721708,1.0,0.13608276348795434,0.0625,0.2105263157894736,0.8649974374866046,0.5962292078977726,0.05455658770865175,0.056162466092439245
max,748.1016949152543,403.08688605236296,1.0,0.3928049560394925,0.0625,0.4827586206896552,0.8649974374866046,4.946011690719864,0.0807833346143112,0.4407818212155476
