,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,224.0,217.0,224.0,217.0,224.0,224.0,166.0,166.0,166.0,166.0
mean,542.5365241202225,177.14636325388324,0.9870194477733983,0.06723073513597622,0.1428571428571428,0.48211628401360546,1.677959518320293,2.713148607201768,0.08042923733983302,0.28045712863747135
std,42.790300910206675,67.41462124060538,0.026815930240319592,0.09089209912425801,0.0,0.1662986639692746,0.07104597909124258,1.537538119819698,0.033721749805822376,0.16554909882092994
min,271.0,71.23158985969212,0.7285714285714285,0.0,0.1428571428571428,0.2,1.312186388966169,0.0,1e-300,0.0
25%,517.3796973892405,127.94637133397727,0.9824561403508771,0.0,0.1428571428571428,0.25,1.6916760106710724,2.0979076613327137,0.06212980217667423,0.1868345286953662
50%,539.2371707150188,155.7376922214655,1.0,0.0,0.1428571428571428,0.5,1.6916760106710724,2.3328914994099024,0.07353933515086165,0.2542533331514468
75%,564.8874258807116,217.1668803559632,1.0,0.13245323570650439,0.1428571428571428,0.625,1.6916760106710724,3.33670590680296,0.09164159451200588,0.38189983194029453
max,696.0,430.01837042980367,1.0,0.44790748822990484,0.1428571428571428,0.75,1.6916760106710724,8.716206927154134,0.2547938853926374,0.8162329673880218
