,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0
mean,547.9748077341839,177.27287315804082,0.9875329801337223,0.06824290203368183,0.5,0.908106923165279,2.922485034109133,8.264462809917356e+297,8.264462809917356e+297,0.8597494835136661
std,36.502484319347076,69.46983858920919,0.021981026009486423,0.08618848031970325,0.0,0.08731284787553198,0.0889647660003208,inf,inf,0.1947340801244044
min,474.7931034482759,79.17264249741952,0.8478260869565217,0.0,0.5,0.4,2.5649493574615367,4.003783114116303,1e-300,1.6730561922084646e-299
25%,522.4444444444445,129.6661902885822,0.9833333333333333,0.0,0.5,0.9230769230769232,2.9444389791664407,7.387258333504717,0.3831315173183361,0.8629408802030408
50%,544.4202898550725,155.5444617706456,1.0,0.0,0.5,0.9333333333333332,2.9444389791664407,8.43732139283169,0.6014864880538816,0.9088343958125076
75%,570.2432432432432,209.5892235042799,1.0,0.12909944487358058,0.5,0.9473684210526316,2.9444389791664407,9.756069711750056,0.9837176217909662,0.9433517311061694
max,674.195652173913,439.9715004310546,1.0,0.36315844747302034,0.5,0.9696969696969696,2.9444389791664407,1e+300,1e+300,1.0
