,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,562.8840579710145,232.3147925345038,1.0,0.0,0.037037037037037,0.0714285714285714,0.3417492937220567,0.0,0.0538684939324222,0.0
std,,,,,,,,,,
min,562.8840579710145,232.3147925345038,1.0,0.0,0.037037037037037,0.0714285714285714,0.3417492937220567,-0.0,0.0538684939324222,-0.0
25%,562.8840579710145,232.3147925345038,1.0,0.0,0.037037037037037,0.0714285714285714,0.3417492937220567,-0.0,0.0538684939324222,-0.0
50%,562.8840579710145,232.3147925345038,1.0,0.0,0.037037037037037,0.0714285714285714,0.3417492937220567,-0.0,0.0538684939324222,-0.0
75%,562.8840579710145,232.3147925345038,1.0,0.0,0.037037037037037,0.0714285714285714,0.3417492937220567,-0.0,0.0538684939324222,-0.0
max,562.8840579710145,232.3147925345038,1.0,0.0,0.037037037037037,0.0714285714285714,0.3417492937220567,-0.0,0.0538684939324222,-0.0
