,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,652.0,629.0,652.0,629.0,652.0,652.0,470.0,470.0,470.0,470.0
mean,547.0463971401093,180.2956374031561,0.9870720469412351,0.06946498695022586,0.08333333333333329,0.23666745062241853,1.1518720852113538,0.7625392816433553,0.054261856454344025,0.07225370494958439
std,46.44158172226713,70.16313015146305,0.026254770740942457,0.0899856447602983,1.3888442540906267e-17,0.10074309463392662,0.017504550957292475,0.7723491849731394,0.017138667270259512,0.07473842656618133
min,241.0,41.09474148571539,0.6666666666666666,0.0,0.0833333333333333,0.1538461538461538,0.7731898882334817,-0.0,5e-301,-0.0
25%,518.1449776785714,131.37300821624163,0.9821428571428571,0.0,0.0833333333333333,0.1538461538461538,1.1526795099383855,0.0,0.049125241256484646,0.0
50%,540.1231746031746,158.05720483419918,1.0,0.0,0.0833333333333333,0.1538461538461538,1.1526795099383855,0.5962292078977726,0.05576053154188925,0.06455165186568755
75%,569.4553595658074,213.18202611166885,1.0,0.13483997249264842,0.0833333333333333,0.2666666666666666,1.1526795099383855,1.2900256809649917,0.06312776924188448,0.11390541226530196
max,955.0,510.7662828067,1.0,0.5773502691896258,0.0833333333333333,0.5217391304347826,1.1526795099383855,3.8858570476365326,0.1002925128457695,0.3504471567777985
