,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,70.0,68.0,70.0,68.0,70.0,70.0,66.0,66.0,66.0,66.0
mean,553.1466905170952,178.82892955337854,0.9870821740136411,0.07134784958509377,0.04999999999999998,0.11491432515034994,0.6418538861723945,0.1832434836848351,0.041200146924888846,0.011219803568465268
std,51.74069650302666,61.93548278972417,0.021253641477443404,0.08891139729268696,2.0966984614567762e-17,0.0488485396373058,3.3561918155008123e-16,0.41773682588858446,0.015287011673506495,0.030768813310171544
min,478.7875,92.73573366005336,0.8958333333333334,0.0,0.05,0.0952380952380952,0.6418538861723948,-0.0,1e-300,-0.0
25%,522.5086206896551,136.79134801750408,0.9846047794117647,0.0,0.05,0.0952380952380952,0.6418538861723948,0.0,0.040794084516743254,0.0
50%,543.7908793604652,159.98972236268077,1.0,0.0,0.05,0.0952380952380952,0.6418538861723948,-0.0,0.0450398783938512,-0.0
75%,566.1324404761905,199.49343293204709,1.0,0.1252470394174356,0.05,0.0952380952380952,0.6418538861723948,-0.0,0.04922019072874283,-0.0
max,771.0,332.65461507111576,1.0,0.3087092781885836,0.05,0.2962962962962963,0.6418538861723948,1.5318337432196856,0.0695227441575959,0.1330691887353478
