,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
mean,544.0066101279457,184.528701481496,0.9774422420785623,0.07863300821170524,0.0454545454545454,0.0949133276499005,0.5465437063680699,0.07588386358617598,0.042588787424783524,0.007120587936724671
std,56.55417537497159,90.01371643671447,0.057580956482026456,0.11758079034037179,0.0,0.03280675121264407,0.0,0.3128771848457653,0.017170641831683126,0.029358936179614742
min,505.13513513513516,115.06933847469895,0.759493670886076,0.0,0.0454545454545454,0.0869565217391304,0.5465437063680699,-0.0,1e-300,-0.0
25%,513.375,135.37161344052228,0.9782608695652174,0.0,0.0454545454545454,0.0869565217391304,0.5465437063680699,0.0,0.0411908446588389,0.0
50%,521.6875,146.04914772744334,1.0,0.0,0.0454545454545454,0.0869565217391304,0.5465437063680699,0.0,0.0464123941002282,0.0
75%,551.4545454545455,162.0761130452125,1.0,0.1474419561548971,0.0454545454545454,0.0869565217391304,0.5465437063680699,0.0,0.0526662764483487,0.0
max,741.632911392405,424.84745911719676,1.0,0.4301219228883507,0.0454545454545454,0.2222222222222222,0.5465437063680699,1.2900256809649917,0.0601083564204543,0.1210499949243194
