,RT,RT_std,acc,acc_std,path sim,wu palmer,leacock-chodorow,resnik,jiang-conrath,lin
count,110.0,108.0,110.0,108.0,110.0,110.0,107.0,107.0,107.0,107.0
mean,550.7379050743907,181.15196731474273,0.9885537240263043,0.0680388362203882,0.05263157894736838,0.12156071201525749,0.6931471805599453,0.18902005588631324,0.04076477742705799,0.014436322777750575
std,48.49673151808869,72.50371319672756,0.02155943026151188,0.08164738882565627,1.3941302042656683e-17,0.048624281160626205,0.0,0.4005403590051675,0.017823973313146387,0.03614126083273869
min,486.2083333333333,75.31486434333667,0.8378378378378378,0.0,0.0526315789473684,0.1,0.6931471805599453,-0.0,1e-300,-0.0
25%,518.1487048289094,128.08387443204157,0.984188988095238,0.0,0.0526315789473684,0.1,0.6931471805599453,-0.0,0.0407902926536971,-0.0
50%,544.0783333333334,160.0259248408123,1.0,0.0,0.0526315789473684,0.1,0.6931471805599453,0.0,0.0445472149194186,0.0
75%,573.7769230769231,221.50592735633975,1.0,0.1259881576697424,0.0526315789473684,0.1,0.6931471805599453,-0.0,0.049758096183880246,-0.0
max,832.0,383.7031615215285,1.0,0.37111557211164575,0.0526315789473684,0.3076923076923077,0.6931471805599453,1.5318337432196856,0.0849930251011281,0.2065950155404192
